,Key Communities,Shutoff,Latitude,Longitude,Day,High,Low,Humidity,Dewpoint,Pressure,Windspeed,Windgust,Cover
97,Oroville,True,39.5137752,-121.556359,2019-10-05,77.51,51.1,0.47,39.98,1019.3,4.29,11.65,0.04
98,Oroville,True,39.5137752,-121.556359,2019-10-05,77.51,51.1,0.47,39.98,1019.3,4.29,11.65,0.04
99,Oroville,True,39.5137752,-121.556359,2019-10-06,83.25,57.35,0.38,36.54,1019.0,3.9,7.1,0.01
100,Oroville,True,39.5137752,-121.556359,2019-10-06,83.25,57.35,0.38,36.54,1019.0,3.9,7.1,0.01
101,Oroville,True,39.5137752,-121.556359,2019-10-06,83.25,57.35,0.38,36.54,1019.0,3.9,7.1,0.01
102,Oroville,True,39.5137752,-121.556359,2019-10-06,83.25,57.35,0.38,36.54,1019.0,3.9,7.1,0.01
103,Oroville,True,39.5137752,-121.556359,2019-10-09,88.88,53.97,0.29,37.29,1010.8,4.1,8.29,0.2
104,Oroville,True,39.5137752,-121.556359,2019-10-09,88.88,53.97,0.29,37.29,1010.8,4.1,8.29,0.2
105,Oroville,True,39.5137752,-121.556359,2019-10-09,88.88,53.97,0.29,37.29,1010.8,4.1,8.29,0.2
106,Oroville,True,39.5137752,-121.556359,2019-10-09,88.88,53.97,0.29,37.29,1010.8,4.1,8.29,0.2
107,Oroville,True,39.5137752,-121.556359,2019-10-09,88.88,53.97,0.29,37.29,1010.8,4.1,8.29,0.2
108,Oroville,True,39.5137752,-121.556359,2019-10-09,88.88,53.97,0.29,37.29,1010.8,4.1,8.29,0.2
109,Oroville,True,39.5137752,-121.556359,2019-10-09,88.88,53.97,0.29,37.29,1010.8,4.1,8.29,0.2
110,Oroville,True,39.5137752,-121.556359,2019-10-10,80.25,49.51,0.25,23.39,1012.3,7.64,18.73,0.0
111,Oroville,True,39.5137752,-121.556359,2019-10-10,80.25,49.51,0.25,23.39,1012.3,7.64,18.73,0.0
112,Oroville,True,39.5137752,-121.556359,2019-10-10,80.25,49.51,0.25,23.39,1012.3,7.64,18.73,0.0
113,Oroville,True,39.5137752,-121.556359,2019-10-10,80.25,49.51,0.25,23.39,1012.3,7.64,18.73,0.0
114,Oroville,True,39.5137752,-121.556359,2019-10-10,80.25,49.51,0.25,23.39,1012.3,7.64,18.73,0.0
115,Oroville,True,39.5137752,-121.556359,2019-10-10,80.25,49.51,0.25,23.39,1012.3,7.64,18.73,0.0
116,Oroville,True,39.5137752,-121.556359,2019-10-11,83.01,50.75,0.1,4.28,1016.3,8.1,16.41,0.0
117,Oroville,True,39.5137752,-121.556359,2019-10-11,83.01,50.75,0.1,4.28,1016.3,8.1,16.41,0.0
118,Oroville,True,39.5137752,-121.556359,2019-10-11,83.01,50.75,0.1,4.28,1016.3,8.1,16.41,0.0
119,Oroville,True,39.5137752,-121.556359,2019-10-11,83.01,50.75,0.1,4.28,1016.3,8.1,16.41,0.0
120,Oroville,True,39.5137752,-121.556359,2019-10-11,83.01,50.75,0.1,4.28,1016.3,8.1,16.41,0.0
121,Oroville,True,39.5137752,-121.556359,2019-10-11,83.01,50.75,0.1,4.28,1016.3,8.1,16.41,0.0
122,Oroville,True,39.5137752,-121.556359,2019-09-25,101.28,71.89,0.26,43.14,1014.3,6.9,15.96,0.01
123,Oroville,True,39.5137752,-121.556359,2019-09-25,101.28,71.89,0.26,43.14,1014.3,6.9,15.96,0.01
124,Oroville,True,39.5137752,-121.556359,2019-09-25,101.28,71.89,0.26,43.14,1014.3,6.9,15.96,0.01
